gene_symbol	gene_symbol_long	_identifier	primary
TCP32	Teosinte branched1 and cycloidea and proliferating cell factor family protein gene 32	glyma.Wm82.gnm2.ann1.Glyma.06G284500	1
GLN31	Glutamine Synthase gene 31	glyma.Wm82.gnm2.ann1.Glyma.06G284700	1
bZIP50	bZIP transcription factor gene 50	glyma.Wm82.gnm2.ann1.Glyma.06G284900	1
LBD28	LBD domain-containing transcription factor gene 28	glyma.Wm82.gnm2.ann1.Glyma.06G285100	1
eEF13	Eukaryotic Elongation Factor gene 13	glyma.Wm82.gnm2.ann1.Glyma.06G285200	1
F3G2Gt 1	anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.06G285700	1
F3G2Gt-a	flavonol 3-O-glycoside (1-2) glucosyltransferase gene A	glyma.Wm82.gnm2.ann1.Glyma.06G285700	0
F3G2Gt-b	flavonol 3-O-glycoside (1-2) glucosyltransferase gene B	glyma.Wm82.gnm2.ann1.Glyma.06G285700	0
FG3	anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like gene 3	glyma.Wm82.gnm2.ann1.Glyma.06G285700	0
UGT79B30	anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.06G285700	0
UGT79B30-1	anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase gene	glyma.Wm82.gnm2.ann1.Glyma.06G285700	0
VOZ2B	Vascular plant one-zinc-finger transcription factor 2 gene B	glyma.Wm82.gnm2.ann1.Glyma.06G285800	1
COMT2	caffeic acid O-methyltransferase gene 2	glyma.Wm82.gnm2.ann1.Glyma.06G286200	1
COMT4	caffeic acid O-methyltransferase gene 4	glyma.Wm82.gnm2.ann1.Glyma.06G286600	1
COMT1	caffeic acid O-methyltransferase gene 1	glyma.Wm82.gnm2.ann1.Glyma.06G286700	1
GELP54	GDSL-type esterase/lipase protein gene 54	glyma.Wm82.gnm2.ann1.Glyma.06G287400	1
NAC163	NAC domain-containing protein gene 163	glyma.Wm82.gnm2.ann1.Glyma.06G288500	1
DMP11	DUF679 membrane protein gene 11	glyma.Wm82.gnm2.ann1.Glyma.06G288800	1
CPIP	Soybean mosaic virus coat protein-interacting protein gene	glyma.Wm82.gnm2.ann1.Glyma.06G289000	1
ERF50	Ethylene-Responsive Factor gene 50	glyma.Wm82.gnm2.ann1.Glyma.06G290000	1
ZF351	tandem CCCH zinc finger protein 351 gene	glyma.Wm82.gnm2.ann1.Glyma.06G290100	1
C2-54	C2-domain containing protein gene 54	glyma.Wm82.gnm2.ann1.Glyma.06G292000	1
ANK60	Ankyrin Repeat protein gene 60	glyma.Wm82.gnm2.ann1.Glyma.06G293900	1
ANK61	Ankyrin Repeat protein gene 61	glyma.Wm82.gnm2.ann1.Glyma.06G294000	1
ANK62	Ankyrin Repeat protein gene 62	glyma.Wm82.gnm2.ann1.Glyma.06G294100	1
ANK63	Ankyrin Repeat protein gene 63	glyma.Wm82.gnm2.ann1.Glyma.06G294200	1
ANK64	Ankyrin Repeat protein gene 64	glyma.Wm82.gnm2.ann1.Glyma.06G294300	1
ANK65	Ankyrin Repeat protein gene 65	glyma.Wm82.gnm2.ann1.Glyma.06G294400	1
EXPB4	expansin-B3-like gene 4	glyma.Wm82.gnm2.ann1.Glyma.06G294500	1
GELP55	GDSL-type esterase/lipase protein gene 55	glyma.Wm82.gnm2.ann1.Glyma.06G294700	1
GELP56	GDSL-type esterase/lipase protein gene 56	glyma.Wm82.gnm2.ann1.Glyma.06G294800	1
GELP57	GDSL-type esterase/lipase protein gene 57	glyma.Wm82.gnm2.ann1.Glyma.06G294900	1
COMT34	caffeic acid O-methyltransferase gene 34	glyma.Wm82.gnm2.ann1.Glyma.06G295700	1
PP2C12	Protein Phosphatase 2C-type gene 12	glyma.Wm82.gnm2.ann1.Glyma.06G296200	1
SCAMP2	Secretory Carrier Membrane Protein gene 2	glyma.Wm82.gnm2.ann1.Glyma.06G296900	1
DGK4	Diacylglycerol kinase gene 4	glyma.Wm82.gnm2.ann1.Glyma.06G299200	1
BMY1-1	Beta-amylase 1 gene 1	glyma.Wm82.gnm2.ann1.Glyma.06G301500	1
PPR53	Pentatricopeptide-Repeat protein gene 53	glyma.Wm82.gnm2.ann1.Glyma.06G301600	1
BTB036	BTB gene 36	glyma.Wm82.gnm2.ann1.Glyma.06G302100	1
TPS3	geraniol synthase gene 3	glyma.Wm82.gnm2.ann1.Glyma.06G302200	1
PC7	peroxidase gene	glyma.Wm82.gnm2.ann1.Glyma.06G302600	1
MYB73	MYB transcription factor 73 gene	glyma.Wm82.gnm2.ann1.Glyma.06G303100	1
ICL1	isocitrate lyase 1-like gene	glyma.Wm82.gnm2.ann1.Glyma.06G303200	1
LEA2-31	late embryogenesis abundant 2 gene 31	glyma.Wm82.gnm2.ann1.Glyma.06G303300	1
GLR3.5-1	Glutamate Receptor 3.5-like gene transcript 1	glyma.Wm82.gnm2.ann1.Glyma.06G305000	1
GLR3.5-2	Glutamate Receptor 3.5-like gene transcript 2	glyma.Wm82.gnm2.ann1.Glyma.06G305000	0
GLR3.5-3	Glutamate Receptor 3.5-like gene transcript 3	glyma.Wm82.gnm2.ann1.Glyma.06G305000	0
GLR3.5-4	Glutamate Receptor 3.5-like gene transcript 4	glyma.Wm82.gnm2.ann1.Glyma.06G305000	0
SIP1-6	aquaporin SIP1-6 gene	glyma.Wm82.gnm2.ann1.Glyma.06G307000	1
Lac16	Laccase gene 16	glyma.Wm82.gnm2.ann1.Glyma.06G307100	1
bZIP56	Basic leucine zipper transcription factor-like protein gene 56	glyma.Wm82.gnm2.ann1.Glyma.06G307200	1
WRKY66	WRKY Transcription Factor gene 66	glyma.Wm82.gnm2.ann1.Glyma.06G307700	1
PPR54	Pentatricopeptide-Repeat protein gene 54	glyma.Wm82.gnm2.ann1.Glyma.06G311600	1
PPR55	Pentatricopeptide-Repeat protein gene 55	glyma.Wm82.gnm2.ann1.Glyma.06G311700	1
ABCC12L-2	ABC transporter C family member 12-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.06G312300	1
PMEI59	Pectin Methylesterase Inhibitor gene 59	glyma.Wm82.gnm2.ann1.Glyma.06G314100	1
PMEI60	Pectin Methylesterase Inhibitor gene 60	glyma.Wm82.gnm2.ann1.Glyma.06G314200	1
FDL0647	Flowering Locus D-like 647 gene	glyma.Wm82.gnm2.ann1.Glyma.06G314400	1
bZIP57	Basic leucine zipper transcription factor-like protein gene 57	glyma.Wm82.gnm2.ann1.Glyma.06G314400	0
ALA15	Aminophospholipid ATPase gene 15	glyma.Wm82.gnm2.ann1.Glyma.06G315100	1
TPP7	Trehalose-6-Phosphate Phosphatase 7 gene	glyma.Wm82.gnm2.ann1.Glyma.06G318400	1
Lac17	Laccase gene 17	glyma.Wm82.gnm2.ann1.Glyma.06G318800	1
NAC045	NAC domain-containing protein gene 45	glyma.Wm82.gnm2.ann1.Glyma.06G318900	1
PMEI61	Pectin Methylesterase Inhibitor gene 61	glyma.Wm82.gnm2.ann1.Glyma.06G319000	1
PMEI62	Pectin Methylesterase Inhibitor gene 62	glyma.Wm82.gnm2.ann1.Glyma.06G319100	1
PMEI63	Pectin Methylesterase Inhibitor gene 63	glyma.Wm82.gnm2.ann1.Glyma.06G319200	1
PMEI64	Pectin Methylesterase Inhibitor gene 64	glyma.Wm82.gnm2.ann1.Glyma.06G319300	1
ANK66	Ankyrin Repeat protein gene 66	glyma.Wm82.gnm2.ann1.Glyma.06G320200	1
BRL1B	brassinosteroid receptor-like protein 1 gene B	glyma.Wm82.gnm2.ann1.Glyma.06G320600	1
WRKY59	WRKY transcription factor gene 59	glyma.Wm82.gnm2.ann1.Glyma.06G320700	1
WRKY67	WRKY Transcription Factor gene 67	glyma.Wm82.gnm2.ann1.Glyma.06G320700	0
IF7GT6	isoflavone 7-O-glucosyltransferase UGT6 gene	glyma.Wm82.gnm2.ann1.Glyma.06G320800	1
SFH11	Sec14 homology protein 11 gene	glyma.Wm82.gnm2.ann1.Glyma.06G322200	1
PPR56	Pentatricopeptide-Repeat protein gene 56	glyma.Wm82.gnm2.ann1.Glyma.06G322500	1
SPS6	Sucrose Phosphate Synthase gene 6	glyma.Wm82.gnm2.ann1.Glyma.06G323700	1
GELP58	GDSL-type esterase/lipase protein gene 58	glyma.Wm82.gnm2.ann1.Glyma.06G324100	1
GELP59	GDSL-type esterase/lipase protein gene 59	glyma.Wm82.gnm2.ann1.Glyma.06G324200	1
AGL11	MADS domain transporter AGL11 gene	glyma.Wm82.gnm2.ann1.Glyma.06G324400	1
AMS1	beta-amyrin synthase 1	glyma.Wm82.gnm2.ann1.Glyma.07G001300	1
MKK4	mitogen-activated protein kinase kinase 4 gene	glyma.Wm82.gnm2.ann1.Glyma.07G003200	1
RPL37	ribosomal protein L37 gene	glyma.Wm82.gnm2.ann1.Glyma.07G004900	1
VLXC	lipoxygenase gene	glyma.Wm82.gnm2.ann1.Glyma.07G006900	1
LOX1.4	lipoxygenase 1 gene 4	glyma.Wm82.gnm2.ann1.Glyma.07G007000	1
SC514	lipoxygenase gene	glyma.Wm82.gnm2.ann1.Glyma.07G007000	0
ALA13	Aminophospholipid ATPase gene 13	glyma.Wm82.gnm2.ann1.Glyma.07G007700	1
COPZ1	nonclathrin coat protein zeta1-COP gene	glyma.Wm82.gnm2.ann1.Glyma.07G008000	1
IQM1a	IQM Calcium-independent Calmoulin binding protein gene 1a	glyma.Wm82.gnm2.ann1.Glyma.07G008300	1
IQD21	protein IQ-DOMAIN gene 21	glyma.Wm82.gnm2.ann1.Glyma.07G008400	1
CWINV	beta-fructofuranosidase gene	glyma.Wm82.gnm2.ann1.Glyma.07G008800	1
MED9-1	Mediator Complex 9 gene 1	glyma.Wm82.gnm2.ann1.Glyma.07G009300	1
LBD29	LBD domain-containing transcription factor gene 29	glyma.Wm82.gnm2.ann1.Glyma.07G009500	1
LEA2-32	late embryogenesis abundant 2 gene 32	glyma.Wm82.gnm2.ann1.Glyma.07G009700	1
CBL5	Calcineurin B-Like protein gene 5	glyma.Wm82.gnm2.ann1.Glyma.07G010800	1
C2-55	C2-domain containing protein gene 55	glyma.Wm82.gnm2.ann1.Glyma.07G010900	1
ABCC8L-1	ABC transporter C family member 8-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.07G011500	1
ABCC8L-2	ABC transporter C family member 8-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.07G011600	1
DOF7.1	Dof transcription factor Chr. 7 gene 1	glyma.Wm82.gnm2.ann1.Glyma.07G012100	1
G6PDH8	Glucose-6-phosphate dehydrogenase gene 8	glyma.Wm82.gnm2.ann1.Glyma.07G013800	1
GELP60	GDSL-type esterase/lipase protein gene 60	glyma.Wm82.gnm2.ann1.Glyma.07G014100	1
VSP25	Vegetative storage protein 25 kd gene	glyma.Wm82.gnm2.ann1.Glyma.07G014500	1
VSPA	28 kDa protein gene	glyma.Wm82.gnm2.ann1.Glyma.07G014500	0
VSPA28	Vegetative storage protein A 28 kD gene	glyma.Wm82.gnm2.ann1.Glyma.07G014500	0
IQD22	protein IQ-DOMAIN gene 22	glyma.Wm82.gnm2.ann1.Glyma.07G014800	1
IAA20	Indole-3-Acetic Acid Responsive gene 20	glyma.Wm82.gnm2.ann1.Glyma.07G015200	1
HP07	Shoot preferential, Phosphotransfer Protein gene 7	glyma.Wm82.gnm2.ann1.Glyma.07G015600	1
ABCG36L-1	ABC transporter G family member 36-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.07G015800	1
PDR1L-2	Pleiotropic drug resistance 1-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.07G016200	1
IAA21	Indole-3-Acetic Acid Responsive gene 21	glyma.Wm82.gnm2.ann1.Glyma.07G018100	1
WRKY68	WRKY Transcription Factor gene 68	glyma.Wm82.gnm2.ann1.Glyma.07G023300	1
NRAMP5A	metal transporter Nramp5 gene A	glyma.Wm82.gnm2.ann1.Glyma.07G023600	1
PMEI65	Pectin Methylesterase Inhibitor gene 65	glyma.Wm82.gnm2.ann1.Glyma.07G024200	1
PMEI66	Pectin Methylesterase Inhibitor gene 66	glyma.Wm82.gnm2.ann1.Glyma.07G024300	1
PMEI67	Pectin Methylesterase Inhibitor gene 67	glyma.Wm82.gnm2.ann1.Glyma.07G024500	1
PMEI68	Pectin Methylesterase Inhibitor gene 68	glyma.Wm82.gnm2.ann1.Glyma.07G024600	1
PMEI69	Pectin Methylesterase Inhibitor gene 69	glyma.Wm82.gnm2.ann1.Glyma.07G026600	1
GK	glycerol kinase gene	glyma.Wm82.gnm2.ann1.Glyma.07G028600	1
VQ27	VQ motif containing protein gene 27	glyma.Wm82.gnm2.ann1.Glyma.07G028700	1
VQ27	VQ transcription factor gene 27	glyma.Wm82.gnm2.ann1.Glyma.07G028700	0
PPR57	Pentatricopeptide-Repeat protein gene 57	glyma.Wm82.gnm2.ann1.Glyma.07G029000	1
MED7-1	Mediator Complex 7 gene 1	glyma.Wm82.gnm2.ann1.Glyma.07G029300	1
FAD5.1	delta-7 desaturase 5 gene 1	glyma.Wm82.gnm2.ann1.Glyma.07G030000	1
PHP1	Ubiquitous, Phosphotransfer Protein gene	glyma.Wm82.gnm2.ann1.Glyma.07G030100	1
LOR11	LURP-one related protein gene 11	glyma.Wm82.gnm2.ann1.Glyma.07G030300	1
GLN32	Glutamine Synthase gene 32	glyma.Wm82.gnm2.ann1.Glyma.07G030400	1
C2-56	C2-domain containing protein gene 56	glyma.Wm82.gnm2.ann1.Glyma.07G031100	1
ERF51	Ethylene-Responsive Factor gene 51	glyma.Wm82.gnm2.ann1.Glyma.07G031200	1
GLYI-6	Glyoxylase 1 gene 6	glyma.Wm82.gnm2.ann1.Glyma.07G031700	1
PPR58	Pentatricopeptide-Repeat protein gene 58	glyma.Wm82.gnm2.ann1.Glyma.07G033300	1
PDR1L-3	Pleiotropic drug resistance 1-like gene 3	glyma.Wm82.gnm2.ann1.Glyma.07G033500	1
IAA22	Indole-3-Acetic Acid Responsive gene 22	glyma.Wm82.gnm2.ann1.Glyma.07G034200	1
LOX9	Lipoxygenase 9 gene	glyma.Wm82.gnm2.ann1.Glyma.07G034800	1
NF-YA05	nuclear transcription factor Y subunit A-5 gene	glyma.Wm82.gnm2.ann1.Glyma.07G036200	1
GRF6	growth-regulating factor gene 6	glyma.Wm82.gnm2.ann1.Glyma.07G038400	1
GER8	germin-like protein gene 8	glyma.Wm82.gnm2.ann1.Glyma.07G038500	1
GER9	germin-like protein gene 9	glyma.Wm82.gnm2.ann1.Glyma.07G039100	1
NSP1	nodulation-signaling pathway 1 protein gene	glyma.Wm82.gnm2.ann1.Glyma.07G039400	1
GELP61	GDSL-type esterase/lipase protein gene 61	glyma.Wm82.gnm2.ann1.Glyma.07G044100	1
GELP62	GDSL-type esterase/lipase protein gene 62	glyma.Wm82.gnm2.ann1.Glyma.07G044200	1
ERF52	Ethylene-responsive factor gene 52	glyma.Wm82.gnm2.ann1.Glyma.07G044300	1
ERF52	Ethylene-Responsive Factor gene 52	glyma.Wm82.gnm2.ann1.Glyma.07G044300	0
ERF7	ethylene-responsive transcription factor 7 gene	glyma.Wm82.gnm2.ann1.Glyma.07G044300	0
LOR12	LURP-one related protein gene 12	glyma.Wm82.gnm2.ann1.Glyma.07G045500	1
PMEI70	Pectin Methylesterase Inhibitor gene 70	glyma.Wm82.gnm2.ann1.Glyma.07G046000	1
NAC164	NAC domain-containing protein gene 164	glyma.Wm82.gnm2.ann1.Glyma.07G047900	1
NAC046	NAC domain-containing protein gene 46	glyma.Wm82.gnm2.ann1.Glyma.07G048000	1
NAC047	NAC domain-containing protein gene 47	glyma.Wm82.gnm2.ann1.Glyma.07G048100	1
B3-39	B3 Transcription Factor gene 39	glyma.Wm82.gnm2.ann1.Glyma.07G048200	1
LCL-4	Late Elongated Hypocotyl/ CCA gene 4	glyma.Wm82.gnm2.ann1.Glyma.07G048500	1
LCL4	LHY1/CCA1-like protein gene 4	glyma.Wm82.gnm2.ann1.Glyma.07G048500	0
LHY1b	LATE ELONGATED HYPOCOTYL 1 gene b	glyma.Wm82.gnm2.ann1.Glyma.07G048500	0
COMT49	caffeic acid O-methyltransferase gene 49	glyma.Wm82.gnm2.ann1.Glyma.07G048700	1
COMT48	caffeic acid O-methyltransferase gene 48	glyma.Wm82.gnm2.ann1.Glyma.07G048800	1
O-MT	O-methyltransferase gene	glyma.Wm82.gnm2.ann1.Glyma.07G048900	1
COMT47	caffeic acid O-methyltransferase gene 47	glyma.Wm82.gnm2.ann1.Glyma.07G048900	0
LEA2-33	late embryogenesis abundant 2 gene 33	glyma.Wm82.gnm2.ann1.Glyma.07G049300	1
PRR45	Ubiquitous, Pseudo response regulator gene 45	glyma.Wm82.gnm2.ann1.Glyma.07G049400	1
PRR7	Pseudo-response Regulator Gene 7	glyma.Wm82.gnm2.ann1.Glyma.07G049400	0
EN2	endonuclease gene	glyma.Wm82.gnm2.ann1.Glyma.07G050300	1
NAC048	NAC domain-containing protein gene 48	glyma.Wm82.gnm2.ann1.Glyma.07G050600	1
NST1A	NAC family transcription factor	glyma.Wm82.gnm2.ann1.Glyma.07G050600	0
IQD23	protein IQ-DOMAIN gene 23	glyma.Wm82.gnm2.ann1.Glyma.07G050800	1
GIF3	GIF gene 3	glyma.Wm82.gnm2.ann1.Glyma.07G051300	1
WNK6	with no lysine kinase gene 6	glyma.Wm82.gnm2.ann1.Glyma.07G053500	1
DOF7.2	Dof transcription factor Chr. 7 gene 2	glyma.Wm82.gnm2.ann1.Glyma.07G053900	1
Lac18	Laccase gene 18	glyma.Wm82.gnm2.ann1.Glyma.07G054100	1
Lac19	Laccase gene 19	glyma.Wm82.gnm2.ann1.Glyma.07G054200	1
ARF13	Auxin Responsive Factor gene 13	glyma.Wm82.gnm2.ann1.Glyma.07G054800	1
B3-40	B3 Transcription Factor gene 40	glyma.Wm82.gnm2.ann1.Glyma.07G054800	0
PYL16	Pyrabactin Resistance 1-Like gene 16	glyma.Wm82.gnm2.ann1.Glyma.07G056900	1
PPR59	Pentatricopeptide-Repeat protein gene 59	glyma.Wm82.gnm2.ann1.Glyma.07G057000	1
CENH3	Centromere specific histone 3 gene	glyma.Wm82.gnm2.ann1.Glyma.07G057300	1
WRKY55	WRKY transcription factor gene 55	glyma.Wm82.gnm2.ann1.Glyma.07G057400	1
WRKY69	WRKY Transcription Factor gene 69	glyma.Wm82.gnm2.ann1.Glyma.07G057400	0
MED19-3	Mediator Complex 19 gene 3	glyma.Wm82.gnm2.ann1.Glyma.07G058600	1
SAT4	Serine Acetyltransferase gene 4	glyma.Wm82.gnm2.ann1.Glyma.07G058800	1
NRAMP4A	metal transporter Nramp4 gene A	glyma.Wm82.gnm2.ann1.Glyma.07G058900	1
RNS6	RNaseT2 protein gene 6	glyma.Wm82.gnm2.ann1.Glyma.07G059300	1
GELP63	GDSL-type esterase/lipase protein gene 63	glyma.Wm82.gnm2.ann1.Glyma.07G060500	1
BTB037	BTB gene 37	glyma.Wm82.gnm2.ann1.Glyma.07G061000	1
BAG6A	BAG family molecular chaperone regulator 6 gene A	glyma.Wm82.gnm2.ann1.Glyma.07G061500	1
chitinaseIII-5	Chitinase Group 3 gene 5	glyma.Wm82.gnm2.ann1.Glyma.07G061600	1
MYB133	MYB transcription factor 133 gene	glyma.Wm82.gnm2.ann1.Glyma.07G066100	1
MPK4B	mitogen-activated protein kinase MPk4b	glyma.Wm82.gnm2.ann1.Glyma.07G066800	1
UBC4	ubiquitin carrier protein 4 gene	glyma.Wm82.gnm2.ann1.Glyma.07G069300	1
CHR15	Chromatin Remodeling Protein gene 15	glyma.Wm82.gnm2.ann1.Glyma.07G069400	1
PHT4.3	Phosphate Trasporter group 4 gene 4.3	glyma.Wm82.gnm2.ann1.Glyma.07G069600	1
PRD3	Putative recombination initiation defects 3 gene	glyma.Wm82.gnm2.ann1.Glyma.07G070400	1
MED12-2	Mediator Complex 12 gene 2	glyma.Wm82.gnm2.ann1.Glyma.07G070700	1
C2-57	C2-domain containing protein gene 57	glyma.Wm82.gnm2.ann1.Glyma.07G072500	1
KEA1b	K+ efflux Antiporter Protein 1 gene B	glyma.Wm82.gnm2.ann1.Glyma.07G073700	1
SDR	short-chain dehydrogenase/reductase (SDR) family protein gene	glyma.Wm82.gnm2.ann1.Glyma.07G074400	1
C2-58	C2-domain containing protein gene 58	glyma.Wm82.gnm2.ann1.Glyma.07G075300	1
C2-59	C2-domain containing protein gene 59	glyma.Wm82.gnm2.ann1.Glyma.07G076100	1
C2-60	C2-domain containing protein gene 60	glyma.Wm82.gnm2.ann1.Glyma.07G076200	1
C2-61	C2-domain containing protein gene 61	glyma.Wm82.gnm2.ann1.Glyma.07G076300	1
C2-62	C2-domain containing protein gene 62	glyma.Wm82.gnm2.ann1.Glyma.07G076400	1
C2-63	C2-domain containing protein gene 63	glyma.Wm82.gnm2.ann1.Glyma.07G076600	1
Raso2	Foxglove aphid resistance gene 2	glyma.Wm82.gnm2.ann1.Glyma.07G077700	1
TCP8	Teosinte branched1 and cycloidea and proliferating cell factor family protein gene 8	glyma.Wm82.gnm2.ann1.Glyma.07G080300	1
C2-64	C2-domain containing protein gene 64	glyma.Wm82.gnm2.ann1.Glyma.07G080400	1
AGL20	Agamous-Like 20 gene	glyma.Wm82.gnm2.ann1.Glyma.07G080900	1
ABCB15L-1	ABC transporter B family member 15-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.07G081000	1
GA20OX	gibberellin oxidase gene 20 gene	glyma.Wm82.gnm2.ann1.Glyma.07G081700	1
GA20OX2	gibberellin 20 oxidase 2 gene	glyma.Wm82.gnm2.ann1.Glyma.07G081700	0
C2-65	C2-domain containing protein gene 65	glyma.Wm82.gnm2.ann1.Glyma.07G082700	1
LEA2-34	late embryogenesis abundant 2 gene 34	glyma.Wm82.gnm2.ann1.Glyma.07G084600	1
NYC1_1	protein NON-YELLOW COLORING 1 gene 1	glyma.Wm82.gnm2.ann1.Glyma.07G085700	1
ANK67	Ankyrin Repeat protein gene 67	glyma.Wm82.gnm2.ann1.Glyma.07G085800	1
LEA2-35	late embryogenesis abundant 2 gene 35	glyma.Wm82.gnm2.ann1.Glyma.07G087000	1
ALDH2C3	aldehyde dehydrogenase family 2 member C3 gene	glyma.Wm82.gnm2.ann1.Glyma.07G087400	1
ALDH2C4	aldehyde dehydrogenase family 2 member C4 gene	glyma.Wm82.gnm2.ann1.Glyma.07G087500	1
C2-66	C2-domain containing protein gene 66	glyma.Wm82.gnm2.ann1.Glyma.07G089100	1
LDL1-1	LSD1-like1 gene 1	glyma.Wm82.gnm2.ann1.Glyma.07G090000	1
ALMT11	aluminum-activated malate transporter family protein gene 11	glyma.Wm82.gnm2.ann1.Glyma.07G090300	1
MAT1	maturation-associated protein 1 gene	glyma.Wm82.gnm2.ann1.Glyma.07G090400	1
COL5a	Constans-like 5 gene a	glyma.Wm82.gnm2.ann1.Glyma.07G091400	1
COL21	CONSTANS-like zinc finger protein gene	glyma.Wm82.gnm2.ann1.Glyma.07G091400	0
LBD30	LBD domain-containing transcription factor gene 30	glyma.Wm82.gnm2.ann1.Glyma.07G091600	1
NAC049	NAC domain-containing protein gene 49	glyma.Wm82.gnm2.ann1.Glyma.07G092000	1
C2-67	C2-domain containing protein gene 67	glyma.Wm82.gnm2.ann1.Glyma.07G092400	1
VQ28	VQ motif containing protein gene 28	glyma.Wm82.gnm2.ann1.Glyma.07G092500	1
VQ28	VQ transcription factor gene 28	glyma.Wm82.gnm2.ann1.Glyma.07G092500	0
CHYR5	CHY Zinc-Finger and Ring Finger Protein gene 5	glyma.Wm82.gnm2.ann1.Glyma.07G093700	1
SARD1-1	Systemic Acquired Resistance Deficient 1 protein gene 1	glyma.Wm82.gnm2.ann1.Glyma.07G093900	1
WAK16	Wall Associated Kinase gene 16	glyma.Wm82.gnm2.ann1.Glyma.07G094100	1
WAK17	Wall Associated Kinase gene 17	glyma.Wm82.gnm2.ann1.Glyma.07G094200	1
WAK18	Wall Associated Kinase gene 18	glyma.Wm82.gnm2.ann1.Glyma.07G094500	1
WAK19	Wall Associated Kinase gene 19	glyma.Wm82.gnm2.ann1.Glyma.07G095000	1
WAK21	Wall Associated Kinase gene 21	glyma.Wm82.gnm2.ann1.Glyma.07G095400	1
WAK22	Wall Associated Kinase gene 22	glyma.Wm82.gnm2.ann1.Glyma.07G095900	1
BES1-7	BRI1-EMS-SUPPRESSOR 1 gene 7	glyma.Wm82.gnm2.ann1.Glyma.07G099100	1
LEA2-36	late embryogenesis abundant 2 gene 36	glyma.Wm82.gnm2.ann1.Glyma.07G099500	1
PP2C13	Protein Phosphatase 2C-type gene 13	glyma.Wm82.gnm2.ann1.Glyma.07G099700	1
WOX10	Wuschel-related homeobox transcription factor gene 10	glyma.Wm82.gnm2.ann1.Glyma.07G101000	1
C2-68	C2-domain containing protein gene 68	glyma.Wm82.gnm2.ann1.Glyma.07G102400	1
PIN1B	auxin efflux carrier component 1b gene	glyma.Wm82.gnm2.ann1.Glyma.07G102500	1
PEAMT2	Phosphoethanolamine methyltransferase gene 2	glyma.Wm82.gnm2.ann1.Glyma.07G102700	1
LEA2-37	late embryogenesis abundant 2 gene 37	glyma.Wm82.gnm2.ann1.Glyma.07G103700	1
LEA2-38	late embryogenesis abundant 2 gene 38	glyma.Wm82.gnm2.ann1.Glyma.07G103800	1
LEA2-39	late embryogenesis abundant 2 gene 39	glyma.Wm82.gnm2.ann1.Glyma.07G103900	1
FCL1	homeobox protein knotted-1-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.07G104800	1
DHBK	putative 3,4-dihydroxy-2-butanone kinase gene	glyma.Wm82.gnm2.ann1.Glyma.07G107100	1
ERF53	Ethylene-Responsive Factor gene 53	glyma.Wm82.gnm2.ann1.Glyma.07G113800	1
ERF54	Ethylene-Responsive Factor gene 54	glyma.Wm82.gnm2.ann1.Glyma.07G114000	1
ERF55	Ethylene-Responsive Factor gene 55	glyma.Wm82.gnm2.ann1.Glyma.07G114300	1
WRKY70	WRKY Transcription Factor gene 70	glyma.Wm82.gnm2.ann1.Glyma.07G116300	1
ABCC15-3	ABC transporter C family member 15 gene 3	glyma.Wm82.gnm2.ann1.Glyma.07G121900	1
NAC050	NAC domain-containing protein gene 50	glyma.Wm82.gnm2.ann1.Glyma.07G126500	1
PPR60	Pentatricopeptide-Repeat protein gene 60	glyma.Wm82.gnm2.ann1.Glyma.07G127400	1
PPR61	Pentatricopeptide-Repeat protein gene 61	glyma.Wm82.gnm2.ann1.Glyma.07G128600	1
B3-41	B3 Transcription Factor gene 41	glyma.Wm82.gnm2.ann1.Glyma.07G130400	1
ARF14	Auxin Responsive Factor gene 14	glyma.Wm82.gnm2.ann1.Glyma.07G130400	0
WOX11	Wuschel-related homeobox transcription factor gene 11	glyma.Wm82.gnm2.ann1.Glyma.07G131000	1
MET2	metallothionein type 2 gene	glyma.Wm82.gnm2.ann1.Glyma.07G132000	1
PHANa	phantastica transcription factor a gene	glyma.Wm82.gnm2.ann1.Glyma.07G132400	1
EXP2	expansin gene 2	glyma.Wm82.gnm2.ann1.Glyma.07G132600	1
ANK68	Ankyrin Repeat protein gene 68	glyma.Wm82.gnm2.ann1.Glyma.07G133400	1
WRKY71	WRKY Transcription Factor gene 71	glyma.Wm82.gnm2.ann1.Glyma.07G133700	1
Lac20	Laccase gene 20	glyma.Wm82.gnm2.ann1.Glyma.07G133900	1
Lac21	Laccase gene 21	glyma.Wm82.gnm2.ann1.Glyma.07G134100	1
ARF15	Auxin Responsive Factor gene 15	glyma.Wm82.gnm2.ann1.Glyma.07G134800	1
B3-42	B3 Transcription Factor gene 42	glyma.Wm82.gnm2.ann1.Glyma.07G134800	0
